question_id,system_type,response,retrieved_chunk_ids,response_time_seconds
Q001,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0015
Q001,S1,"Here's what I found in UMT resources:

UMT's Learning Resource Center is a fully automated library open seven days a week from 8am to 9pm (10am to 5pm on Sundays). The library offers regular orientation sessions to help students improve their research skills. You can borrow up to 4 books for 14 days as an undergraduate student. The library provides access to periodicals, databases, online resources, and research materials. Experienced librarians are available to assist with your information and research needs.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C002;G23_C016;G23_C007,0.0029
Q001,S2,"Here's what I found from UMT resources:

- UMT's Learning Resource Center is a fully automated library open seven days a week from 8am to 9pm (10am to 5pm on Sundays). The library offers regular orientation sessions to help students improve their research skills. You can borrow up to 4 books for 14 days as an undergraduate student. The library provides access to periodicals, databases, online resources, and research materials. Experienced librarians are available to assist with your information and research needs.

- As exams approach the Learning Resource Center and academic support services increase their hours and availability. The library is open 7 days a week from 8am to 9pm weekdays to support exam preparation. Research materials databases and quiet study spaces are available for your exam prep. The library staff and research coordinators can help you locate specific materials for your courses. Combining structured study time at the library with small study groups and official tutoring support creates an effective exam preparation strategy. Start preparation early rather than cramming at the last minute.

- It is normal to feel stressed during academic life but persistent stress can affect your physical and mental health. Signs of unhealthy stress include difficulty concentrating, sleep problems, irritability, physical tension, or withdrawing from activities. If you notice these signs lasting more than a few weeks seek support early. The Happiness Center and campus healthcare are designed to help you address stress before it becomes overwhelming. Reaching out for help is a sign of strength not weakness.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C002;G23_C016;G23_C007,0.0026
Q002,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
Q002,S1,"Here's what I found in UMT resources:

Academic regulations including GPA requirements probation rules attendance policies and progression criteria are governed by official university regulations and handbook policies. Students should review the current handbook and consult their academic advisor for program specific interpretation. If you are worried about low GPA or academic standing seek guidance early from your department and student support offices. Early consultation helps you understand options for improvement and formal procedures.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C145;G23_C034;G23_C116,0.0020
Q002,S2,"I understand you're feeling stressed — that's completely normal, especially around exam time. Here's what can help:

Here's what I found from UMT resources:

- Academic regulations including GPA requirements probation rules attendance policies and progression criteria are governed by official university regulations and handbook policies. Students should review the current handbook and consult their academic advisor for program specific interpretation. If you are worried about low GPA or academic standing seek guidance early from your department and student support offices. Early consultation helps you understand options for improvement and formal procedures.

- at any time. 2 Academic Regulations and Policies 2.1 Academic Calendar An academic calendar shall be issued by the Office of the Registrar, containing the following information: i. Semester commencement dates ii. Fee payment dates iii. Semester end dates iv. Final exam week v. Result notification dates vi. Holidays during the semester The participants are required to adhere to the academic calendar as mentioned above. This calendar is available at the web page of the Office of the Registrar 2.2 Schedule of Semesters There are two regular semesters in an academic year, i.e., Fall and Spring. Each semester consists of a total of 18 weeks, 16 weeks for teaching and two weeks for examinations. The University may offer Summer session comprising eight weeks. Decision to offer the Summer session is at the discretion of the University. 2.3 Credit Hour 2.3.1 A “Credit Hour” is the unit of measuring educational credit,

- and may result in severe disciplinary action. 8.3 Academic Discipline The participants are encouraged to meet faculty members during the scheduled office hours of the faculty members for the purpose of seeking guidance and counseling. 8.3.1 Disciplinary System The UMT Disciplinary System provides procedures under which the alleged violation of the University's Code of Participant Conduct and Code of Academic Integrity and other policies, rules and regulations are investigated. The Code of Conduct for the Participants sets forth the responsibility of all participants at the university to exhibit responsible behavior and good conduct in university premises and wherever and whenever they are representing the university. The Code of Academic Integrity sets forth the standards of integrity, honesty and discipline that should be adhered in all academic activities. The worthy Rector has constituted a Student Disciplinary Committee (SDC) to examine and decide, judiciously, the participants’ cases of breach of discipline. 8.3.2

Remember, the **Happiness Center** (cc.center@umt.edu.pk) provides free, confidential support anytime you need it. 💙

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C145;G23_C034;G23_C116,0.0025
Q003,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0009
Q003,S1,"Here's what I found in UMT resources:

Contacting the Happiness Center is easy and straightforward. Send an email to cc.center@umt.edu.pk if you are a UMT student faculty or staff member. For community members outside UMT email app.hc@umt.edu.pk. Include a brief description of what you would like to discuss and preferred times for an appointment. The center will respond within one to two business days. Appointments are completely confidential and free. There is no judgment or negative consequences for seeking counseling.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C013;G23_C006;G23_C001,0.0021
Q003,S2,"Here's what I found from UMT resources:

- Contacting the Happiness Center is easy and straightforward. Send an email to cc.center@umt.edu.pk if you are a UMT student faculty or staff member. For community members outside UMT email app.hc@umt.edu.pk. Include a brief description of what you would like to discuss and preferred times for an appointment. The center will respond within one to two business days. Appointments are completely confidential and free. There is no judgment or negative consequences for seeking counseling.

- The Happiness Center employs a Happiness Coach who provides personal coaching and mentoring. Shaheen Firdous works as a Happiness Coach at UMT Level 2, Bank Building, OPA Campus. The coach provides one-on-one sessions to help students with goal-setting, motivation, and personal development. Sessions focus on building resilience, managing challenges, and developing healthy habits. You can contact the Happiness Center to request to work with the coach or speak with any of the professional counselors.

- UMT has a Happiness Center with professional clinical psychologists and counselors who can help with stress, anxiety, depression, adjustment difficulties, and emotional issues. The center provides free services to all UMT students, faculty, and staff. Counselors are experienced in dealing with everyday stressors, interpersonal conflicts, and personal challenges. For appointments, email cc.center@umt.edu.pk (UMT members) or app.hc@umt.edu.pk (outside community). All sessions are completely confidential and supportive.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",G23_C013;G23_C006;G23_C001,0.0024
Q004,S0,"UMT Sialkot has a **Happiness Center** with professional clinical psychologists. Email **cc.center@umt.edu.pk** to book a free, confidential appointment.

---
📋 *Source: UMT Participants Handbook 2025-26 & Academic Calendar 2025-26. Contact info and policies may change — always verify at **[skt.umt.edu.pk](https://skt.umt.edu.pk)** or email **info@skt.umt.edu.pk** for the latest information.*",,0.0008
